# NJOY2016 2016.79 ac5adf5 -- band integrals of the ESZ columns over
# equal-lethargy bands (20/decade) lying wholly BELOW thnmax
# = 2.250000e-3 MeV, i.e. the bands that actually test Doppler broadening.
# MAT 9228, 293.6 K. Integrals in barn*MeV; energies in MeV.
e_lo_mev,e_hi_mev,total,absorption,elastic
3.45152908550933033e-5,3.87186336049311604e-5,4.46021959926308856e-4,1.00949408785884522e-4,5.66184799045663347e-5
3.87186336049311604e-5,4.34338680362497746e-5,3.85502927314515780e-4,1.47697778826222067e-4,5.50567120956017055e-5
4.34338680362497746e-5,4.87233333655168465e-5,3.28877631361947141e-4,8.01574304730832304e-5,5.51673958914772634e-5
4.87233333655168465e-5,5.46569606065473975e-5,4.80468618649000417e-4,1.29300112849824319e-4,6.48591542001659656e-5
5.46569606065473975e-5,6.13131971151209928e-5,6.70554546508957301e-4,1.75788572041571519e-4,8.76693552321955509e-5
6.13131971151209928e-5,6.87800437265321358e-5,2.10978858667314510e-4,5.40660948519829714e-5,8.28134171833591962e-5
6.87800437265321358e-5,7.71562181978760860e-5,4.76970691563907061e-4,9.65340313828798774e-5,9.18399887834744769e-5
7.71562181978760860e-5,8.65524603367161819e-5,4.45103465071917254e-4,9.90176693671566369e-5,9.88793423523818356e-5
8.65524603367161819e-5,9.70929960709898069e-5,5.98969400064740427e-4,2.16852072697982932e-4,1.26768260357465842e-4
9.70929960709898069e-5,1.08917179816345842e-4,5.43821625470165240e-4,1.73311782977943950e-4,1.34598876792930972e-4
1.08917179816345842e-4,1.22181336854335104e-4,5.68717545792958947e-4,1.42255695264840830e-4,1.41021873674394268e-4
1.22181336854335104e-4,1.37060830079187073e-4,8.53006901549804224e-4,2.35632759632479582e-4,1.68128437324611854e-4
1.37060830079187073e-4,1.53752378437241669e-4,6.85720444710817014e-4,2.01405209163549694e-4,1.91514065106266593e-4
1.53752378437241669e-4,1.72476657710673461e-4,7.77421495532166443e-4,2.14399363765642762e-4,2.15083044278534805e-4
1.72476657710673461e-4,1.93481218029986033e-4,9.06860581539668418e-4,2.41288422155787633e-4,2.46228373433066291e-4
1.93481218029986033e-4,2.17043756687143081e-4,9.37672030025144009e-4,2.26733198097736442e-4,2.69887627589993821e-4
