# NJOY2016 0 K U-235 ESZ at grid energies this port also chose.
# Oracle for tests/acer_ce_esz_vs_njoy2016.rs. Columns are MeV and barns.
# 17 significant digits: f64 needs that to round-trip exactly, and the test
# matches grid energies by EXACT equality.
energy_mev,total_b,absorption_b,elastic_b
1.88864600000000001e-4,4.18538190000000014e1,2.68224632000000014e1,8.63910699999999920e0
1.89992699999999988e-4,3.73211470000000034e1,8.60997423999999967e0,1.23174600000000005e1
1.91871999999999995e-4,2.20141829999999992e1,3.60702921999999981e0,7.46219099999999980e0
1.92337100000000005e-4,5.88880616000000032e2,2.13495702999999992e2,6.30631100000000018e1
1.94966800000000005e-4,6.41557159000000041e1,3.28186931999999985e1,1.14039500000000000e1
1.97156599999999995e-4,1.23653983999999994e2,7.02537132000000071e1,9.20773800000000087e0
2.00000000000000010e-4,4.30113918999999996e1,8.96015412999999938e0,6.81741499999999956e0
2.05706500000000007e-4,1.16254396000000000e2,5.02635430999999997e1,1.14538399999999996e1
2.05845900000000000e-4,2.08039798000000005e1,5.30717309000000004e0,1.16604200000000002e1
2.08984400000000004e-4,6.48369936999999936e1,4.46976231000000013e1,8.66154799999999980e0
2.09611999999999998e-4,1.01197600999999997e3,7.93371303000000012e2,1.50546600000000012e2
2.10872299999999990e-4,3.07898856999999992e1,3.41088306000000019e0,1.09770900000000005e1
2.11417499999999993e-4,2.76607946000000027e2,1.50001303000000007e2,1.86542400000000015e1
2.12269000000000010e-4,1.93780247000000010e1,2.32282605000000020e0,1.06149500000000003e1
2.16097699999999996e-4,1.62574806999999986e1,9.22588018999999981e-1,9.78812100000000029e0
2.18140299999999989e-4,2.39638886000000007e1,3.68772600000000006e0,1.00486599999999999e1
2.21831500000000005e-4,8.01720966000000033e1,7.04035397999999990e0,1.20856700000000004e1
2.23169100000000011e-4,2.64268535999999983e2,7.60587730000000022e1,1.79094599999999993e1
2.24557499999999993e-4,4.71391575999999986e2,2.92717702999999972e2,4.20535700000000006e1
2.26395800000000005e-4,5.54404955999999970e2,4.28762803000000019e2,6.46898999999999944e1
2.28797400000000013e-4,8.28396654999999953e1,2.63013429000000016e1,1.07172900000000002e1
2.29224799999999988e-4,1.35997746000000006e2,4.70320929000000021e1,1.26554099999999998e1
2.30604800000000005e-4,2.03974064999999989e1,6.66985392000000044e0,5.87563100000000027e0
2.30929799999999999e-4,6.46960524999999961e2,3.21202202999999997e2,8.80155199999999951e1
2.36765800000000002e-4,1.36977204999999998e2,7.20043428999999975e1,1.36273999999999997e1
2.40000000000000006e-4,3.64367084000000006e1,1.15272584999999994e0,1.01938399999999998e1
2.45567600000000017e-4,4.91475752999999997e1,8.20549281999999991e0,1.22356499999999997e1
2.47836999999999992e-4,5.18277325000000019e2,2.85171502999999973e2,5.58799199999999985e1
2.47976999999999974e-4,5.12290853000000013e1,1.96692527999999989e1,1.95119700000000016e1
2.49036800000000007e-4,1.69476585000000000e2,5.77323728000000003e1,2.48712000000000018e1
2.49234999999999995e-4,3.04218572999999992e1,5.23710080000000033e0,1.54521400000000000e1
2.53756000000000001e-4,9.27801151999999973e1,2.62763027999999998e1,1.36174800000000005e1
2.54396400000000023e-4,2.40725861999999999e1,2.10751977000000013e0,1.20486100000000000e1
2.57971000000000014e-4,1.22239970000000007e1,1.64661674999999996e0,9.86942900000000023e0
2.58015599999999990e-4,1.28461739999999995e1,2.33997274999999982e0,9.84555699999999945e0
2.58975599999999981e-4,1.10367525999999998e1,1.29069974999999992e0,8.92129899999999942e0
2.64700600000000025e-4,1.87085115000000002e2,1.44289603000000000e2,1.54377099999999992e1
2.66151399999999981e-4,5.32145020999999971e1,5.93418471000000025e0,9.19973500000000044e0
2.67237400000000004e-4,3.54783611000000008e1,8.48988871000000067e0,1.08438800000000004e1
2.67555500000000003e-4,3.50885140999999976e1,3.06386169999999991e0,1.02258800000000001e1
2.68170600000000017e-4,9.79482351000000051e1,3.21265927000000033e1,1.09895099999999992e1
2.72973400000000004e-4,6.92082951000000008e1,1.98190126999999983e1,2.29834800000000001e1
2.77913800000000022e-4,8.65403349999999989e1,5.04409227000000016e1,1.31843900000000005e1
2.78730499999999990e-4,4.52648349999999979e1,1.33831425999999993e1,1.01315500000000007e1
2.79014300000000003e-4,3.70328409999999977e1,3.08133863999999980e0,1.16988699999999994e1
2.79231000000000010e-4,3.82624440000000021e1,2.86416163999999984e0,1.11490500000000008e1
2.83302700000000001e-4,1.39290319999999994e1,8.15253620999999984e-1,1.17132799999999992e1
2.85822999999999991e-4,2.36580471000000010e1,8.60304807999999976e-1,1.10399700000000003e1
2.87451999999999998e-4,7.34347508999999974e1,9.96154860000000042e0,1.09408300000000001e1
2.87927799999999998e-4,2.01663119000000002e1,2.85656059999999989e0,1.10648700000000009e1
2.90267600000000019e-4,9.36021448999999990e1,2.43319025999999994e1,1.25920699999999997e1
2.90322499999999984e-4,1.22377195000000000e2,3.41826825999999997e1,1.72691599999999994e1
2.91197900000000019e-4,2.33292749000000015e1,1.89957957999999993e0,1.24760000000000009e1
2.94067899999999997e-4,1.30192311000000007e1,8.90349563999999982e-1,1.12150200000000009e1
2.95784299999999993e-4,1.57896517999999997e1,2.76966555999999997e0,9.91506200000000071e0
2.97353900000000020e-4,4.95636948000000004e1,1.43627324999999999e1,1.14358500000000003e1
2.98509000000000025e-4,4.88529404999999997e2,2.17768002999999993e2,6.84663000000000039e1
2.98946999999999982e-4,7.69164748000000031e1,4.62044224999999997e1,1.55096200000000000e1
2.99999999999999974e-4,1.64121510999999991e1,5.47134832999999987e-1,1.15417799999999993e1
3.00489499999999983e-4,2.56923098000000003e1,3.50186753000000017e0,1.15814100000000000e1
3.00680000000000001e-4,2.02894797999999987e1,1.84187553000000004e0,1.13631799999999998e1
3.05907800000000012e-4,2.86774127999999990e1,4.17837050999999970e0,1.11774000000000004e1
3.06497999999999992e-4,1.89177777999999996e1,1.47096150999999997e0,1.08164599999999993e1
3.07076299999999979e-4,2.09490078000000004e1,2.57291449999999999e0,1.03526000000000007e1
3.07548700000000012e-4,3.04896817999999996e1,6.13809950000000004e0,1.04013700000000000e1
3.08441000000000010e-4,1.72052587999999993e1,1.29313250000000002e0,9.69695500000000088e0
3.10410800000000006e-4,2.49350147000000000e1,6.09951948999999960e0,1.03876799999999996e1
3.11297799999999986e-4,4.08812726999999967e1,7.16111049000000044e0,1.00207300000000004e1
3.11498700000000027e-4,1.64120416999999996e1,1.51082449000000008e0,1.02958700000000007e1
3.13223300000000000e-4,3.64776374999999973e2,2.20967201999999986e2,4.18659699999999972e1
3.15074799999999987e-4,1.88692945000000009e2,4.41455424999999977e1,1.47477999999999998e1
3.15682899999999999e-4,8.92359546999999935e1,1.86844624999999986e1,1.00144099999999998e1
3.15727199999999981e-4,1.14026655000000005e2,2.69142325000000007e1,1.30260300000000004e1
3.16128400000000021e-4,7.00597147000000007e1,1.45815824999999997e1,1.22207500000000007e1
3.17244899999999982e-4,4.63053697000000000e1,8.74864746000000082e0,1.06171799999999994e1
3.17682300000000006e-4,5.94591647000000023e1,2.16573625000000014e1,1.13649500000000003e1
3.22579900000000011e-4,3.31504695000000027e2,2.52534101999999990e2,2.56947299999999998e1
3.23735000000000017e-4,2.62032105000000001e2,1.04905901999999998e2,3.09103999999999992e1
3.25998600000000020e-4,2.03435425000000009e2,6.58186623999999938e1,1.88946599999999982e1
3.27213000000000026e-4,4.44427365000000009e2,2.85249202000000025e2,5.15128600000000034e1
3.28160999999999991e-4,1.71289955999999997e1,1.98291941999999999e0,1.12017500000000005e1
