# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	e_solver        	e_initial       	e_final         	e_iters         	e_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
0.00054         	DILUPBiCGStab	3.27211250e-03	1.68995780e-08	1	2.31208400e-02	1.73085930e-07	1	false	DILUPBiCGStab	7.13557420e-03	4.69732170e-08	1	true	DILUPBiCGStab	3.25421570e-03	1.42853220e-08	1	true	DILUPBiCGStab	2.80954950e-04	2.15929460e-07	1	true	GAMG	5.44113990e-03	2.03215930e-05	1	true
0.00056         	DILUPBiCGStab	3.30731530e-03	1.64376270e-08	1	2.24610570e-02	1.60876530e-07	1	false	DILUPBiCGStab	7.28283830e-03	4.69278340e-08	1	true	DILUPBiCGStab	3.19123530e-03	1.40365970e-08	1	true	DILUPBiCGStab	2.76960720e-04	2.16521030e-07	1	true	GAMG	5.54347470e-03	1.87924220e-05	1	true
0.00058         	DILUPBiCGStab	3.34286990e-03	1.58285860e-08	1	2.18306530e-02	1.50844100e-07	1	false	DILUPBiCGStab	7.43599630e-03	4.72900720e-08	1	true	DILUPBiCGStab	3.12673530e-03	1.38122500e-08	1	true	DILUPBiCGStab	2.73024240e-04	2.17059660e-07	1	true	GAMG	5.64173590e-03	1.73949950e-05	1	true
0.0006          	DILUPBiCGStab	3.38053000e-03	1.51078080e-08	1	2.12546740e-02	1.42512160e-07	1	false	DILUPBiCGStab	7.59487560e-03	4.78591670e-08	1	true	DILUPBiCGStab	3.06568090e-03	1.36307170e-08	1	true	DILUPBiCGStab	2.69139750e-04	2.17924090e-07	1	true	GAMG	5.74156370e-03	1.60941100e-05	1	true
0.00062         	DILUPBiCGStab	3.41809600e-03	1.43747840e-08	1	2.07295630e-02	1.35843400e-07	1	false	DILUPBiCGStab	7.74947440e-03	4.83871290e-08	1	true	DILUPBiCGStab	3.00680450e-03	1.34990660e-08	1	true	DILUPBiCGStab	2.65296030e-04	2.19186530e-07	1	true	GAMG	5.84833210e-03	1.49667280e-05	1	true
0.00064         	DILUPBiCGStab	3.45750470e-03	1.37783160e-08	1	2.02142920e-02	1.32214020e-07	1	false	DILUPBiCGStab	7.91464020e-03	4.91560270e-08	1	true	DILUPBiCGStab	2.95026010e-03	1.33408430e-08	1	true	DILUPBiCGStab	2.61543420e-04	2.20545480e-07	1	true	GAMG	5.95033350e-03	1.40699600e-05	1	true
0.00066         	DILUPBiCGStab	3.49694550e-03	1.31851250e-08	1	1.97515740e-02	1.28581810e-07	1	false	DILUPBiCGStab	8.07678970e-03	4.96926310e-08	1	true	DILUPBiCGStab	2.89281260e-03	1.31482170e-08	1	true	DILUPBiCGStab	2.57895130e-04	2.22363570e-07	1	true	GAMG	6.05919970e-03	1.31236280e-05	1	true
0.00068         	DILUPBiCGStab	3.53773370e-03	1.26259680e-08	1	1.93128030e-02	1.25224030e-07	1	false	DILUPBiCGStab	8.24131120e-03	5.02157010e-08	1	true	DILUPBiCGStab	2.84087310e-03	1.29647890e-08	1	true	DILUPBiCGStab	2.54349790e-04	2.24495640e-07	1	true	GAMG	6.17018920e-03	1.22350650e-05	1	true
0.0007          	DILUPBiCGStab	3.57875340e-03	1.21150630e-08	1	1.88924580e-02	1.21894250e-07	1	false	DILUPBiCGStab	8.41178010e-03	5.05978370e-08	1	true	DILUPBiCGStab	2.78663280e-03	1.27027010e-08	1	true	DILUPBiCGStab	2.50932020e-04	2.27075170e-07	1	true	GAMG	6.27680350e-03	1.14888880e-05	1	true
0.00072         	DILUPBiCGStab	3.62009470e-03	1.16598940e-08	1	1.85142490e-02	1.18519460e-07	1	false	DILUPBiCGStab	8.57616080e-03	5.08409460e-08	1	true	DILUPBiCGStab	2.73675980e-03	1.24681450e-08	1	true	DILUPBiCGStab	2.47631140e-04	2.29981850e-07	1	true	GAMG	6.39084520e-03	1.07914840e-05	1	true
0.00074         	DILUPBiCGStab	3.66323790e-03	1.12607350e-08	1	1.81288990e-02	1.15228080e-07	1	false	DILUPBiCGStab	8.75050690e-03	5.11223370e-08	1	true	DILUPBiCGStab	2.68581190e-03	1.21676640e-08	1	true	DILUPBiCGStab	2.44406860e-04	2.33453390e-07	1	true	GAMG	6.49911160e-03	1.01438140e-05	1	true
0.00076         	DILUPBiCGStab	3.70468760e-03	1.09046750e-08	1	1.78074940e-02	1.12117030e-07	1	false	DILUPBiCGStab	8.91365440e-03	5.11328880e-08	1	true	DILUPBiCGStab	2.63722510e-03	1.19076320e-08	1	true	DILUPBiCGStab	2.41263000e-04	2.37674070e-07	1	true	GAMG	6.61613280e-03	9.49260280e-06	1	true
0.00078         	DILUPBiCGStab	3.74886780e-03	1.05884110e-08	1	1.74636090e-02	1.08750260e-07	1	false	DILUPBiCGStab	9.09265720e-03	5.15378950e-08	1	true	DILUPBiCGStab	2.59124960e-03	1.16053220e-08	1	true	DILUPBiCGStab	2.38265320e-04	2.42795610e-07	1	true	GAMG	6.72871180e-03	8.93763390e-06	1	true
0.0008          	DILUPBiCGStab	3.79193790e-03	1.03104340e-08	1	1.71704580e-02	1.05410120e-07	1	false	DILUPBiCGStab	9.25534270e-03	5.19041560e-08	1	true	DILUPBiCGStab	2.54525120e-03	1.13006570e-08	1	true	DILUPBiCGStab	2.35386520e-04	2.49069690e-07	1	true	GAMG	6.84404390e-03	8.46750490e-06	1	true
0.00082         	DILUPBiCGStab	3.83516460e-03	1.00503580e-08	1	1.68578580e-02	1.02329740e-07	1	false	DILUPBiCGStab	9.43667020e-03	5.21316750e-08	1	true	DILUPBiCGStab	2.50111340e-03	1.10153170e-08	1	true	DILUPBiCGStab	2.32577380e-04	2.56660570e-07	1	true	GAMG	6.95993970e-03	7.98230560e-06	1	true
0.00084         	DILUPBiCGStab	3.87961210e-03	9.81655480e-09	1	1.65999080e-02	9.92022610e-08	1	false	DILUPBiCGStab	9.59938350e-03	5.22474400e-08	1	true	DILUPBiCGStab	2.45915890e-03	1.07241460e-08	1	true	DILUPBiCGStab	2.29858840e-04	2.66118420e-07	1	true	GAMG	7.07432990e-03	7.57326630e-06	1	true
0.00086         	DILUPBiCGStab	3.92271270e-03	9.60893680e-09	1	1.63190140e-02	9.60414970e-08	1	false	DILUPBiCGStab	9.77979220e-03	5.24045160e-08	1	true	DILUPBiCGStab	2.41769950e-03	1.04369160e-08	1	true	DILUPBiCGStab	2.27243150e-04	2.77856280e-07	1	true	GAMG	7.19514840e-03	7.19734130e-06	1	true
0.00088         	DILUPBiCGStab	3.96808580e-03	9.40821740e-09	1	1.60861990e-02	9.31322040e-08	1	false	DILUPBiCGStab	9.94739990e-03	5.23433740e-08	1	true	DILUPBiCGStab	2.37882510e-03	1.01741450e-08	1	true	DILUPBiCGStab	2.24744410e-04	2.92289350e-07	1	true	GAMG	7.30981900e-03	6.85096060e-06	1	true
0.0009          	DILUPBiCGStab	4.01156420e-03	9.23712170e-09	1	1.58381290e-02	9.00556600e-08	1	false	DILUPBiCGStab	1.01193830e-02	5.24467890e-08	1	true	DILUPBiCGStab	2.34084050e-03	9.90064970e-09	1	true	DILUPBiCGStab	2.22315620e-04	3.11130750e-07	1	true	GAMG	7.43132910e-03	6.53860470e-06	1	true
0.00092         	DILUPBiCGStab	4.05417890e-03	9.06001230e-09	1	1.56094880e-02	8.72764470e-08	1	false	DILUPBiCGStab	1.02963640e-02	5.23164570e-08	1	true	DILUPBiCGStab	2.30151540e-03	9.64302150e-09	1	true	DILUPBiCGStab	2.19862900e-04	3.34492030e-07	1	true	GAMG	7.54350520e-03	6.20897400e-06	1	true
0.00094         	DILUPBiCGStab	4.09996280e-03	8.91038020e-09	1	1.54018820e-02	8.44156790e-08	1	false	DILUPBiCGStab	1.04639240e-02	5.23527570e-08	1	true	DILUPBiCGStab	2.26854120e-03	9.41470330e-09	1	true	DILUPBiCGStab	2.17525410e-04	3.62409760e-07	1	true	GAMG	7.67172490e-03	5.95043210e-06	1	true
0.00096         	DILUPBiCGStab	4.14282300e-03	8.76929100e-09	1	1.51816780e-02	8.17153930e-08	1	false	DILUPBiCGStab	1.06414080e-02	5.21976870e-08	1	true	DILUPBiCGStab	2.23298740e-03	9.16313630e-09	1	true	DILUPBiCGStab	2.15299410e-04	3.94449250e-07	1	true	GAMG	7.78662780e-03	5.69182550e-06	1	true
0.00098         	DILUPBiCGStab	4.18521280e-03	8.63512640e-09	1	1.50025380e-02	7.91178520e-08	1	false	DILUPBiCGStab	1.08104330e-02	5.21479470e-08	1	true	DILUPBiCGStab	2.19843450e-03	8.95493640e-09	1	true	DILUPBiCGStab	2.13168410e-04	4.30486600e-07	1	true	GAMG	7.90584690e-03	5.41672770e-06	1	true
0.001           	DILUPBiCGStab	4.22924990e-03	8.49505100e-09	1	1.47917990e-02	7.65450070e-08	1	false	DILUPBiCGStab	1.09901490e-02	5.19794410e-08	1	true	DILUPBiCGStab	2.16707070e-03	8.73092150e-09	1	true	DILUPBiCGStab	2.10990410e-04	4.71272990e-07	1	true	GAMG	8.03567040e-03	5.15665970e-06	1	true
0.00102         	DILUPBiCGStab	4.27118560e-03	8.36307890e-09	1	1.46230330e-02	7.40962500e-08	1	false	DILUPBiCGStab	1.11600610e-02	5.17936120e-08	1	true	DILUPBiCGStab	2.13436910e-03	8.53462650e-09	1	true	DILUPBiCGStab	2.08920690e-04	5.16476100e-07	1	true	GAMG	8.14458820e-03	4.91010690e-06	1	true
0.00104         	DILUPBiCGStab	4.31191440e-03	8.23516850e-09	1	1.44546000e-02	7.16648250e-08	1	false	DILUPBiCGStab	1.13327150e-02	5.17023930e-08	1	true	DILUPBiCGStab	2.10347450e-03	8.33165180e-09	1	true	DILUPBiCGStab	2.06946190e-04	5.67090900e-07	1	true	GAMG	8.27547740e-03	4.68095140e-06	1	true
0.00106         	DILUPBiCGStab	4.35480470e-03	8.10189130e-09	1	1.42706340e-02	6.93891090e-08	1	false	DILUPBiCGStab	1.15162570e-02	5.14100440e-08	1	true	DILUPBiCGStab	2.07458820e-03	8.15451510e-09	1	true	DILUPBiCGStab	2.05018600e-04	6.22405030e-07	1	true	GAMG	8.39978700e-03	4.48283270e-06	1	true
0.00108         	DILUPBiCGStab	4.39563980e-03	7.97542360e-09	1	1.41272140e-02	6.69952220e-08	1	false	DILUPBiCGStab	1.16791950e-02	5.13775750e-08	1	true	DILUPBiCGStab	2.04508120e-03	7.97800590e-09	1	true	DILUPBiCGStab	2.03088000e-04	6.81189730e-07	1	true	GAMG	8.51296740e-03	4.30405290e-06	1	true
0.0011          	DILUPBiCGStab	4.43414150e-03	7.83867210e-09	1	1.39656340e-02	6.50291240e-08	1	false	DILUPBiCGStab	1.18564910e-02	5.11311590e-08	1	true	DILUPBiCGStab	2.01638570e-03	7.79182760e-09	1	true	DILUPBiCGStab	2.01162650e-04	7.42324820e-07	1	true	GAMG	8.64685010e-03	4.13394020e-06	1	true
0.00112         	DILUPBiCGStab	4.47673090e-03	7.69420170e-09	1	1.38129800e-02	6.28246180e-08	1	false	DILUPBiCGStab	1.20384860e-02	5.09128890e-08	1	true	DILUPBiCGStab	1.98954160e-03	7.65389590e-09	1	true	DILUPBiCGStab	1.99341730e-04	8.03768960e-07	1	true	GAMG	8.76549850e-03	3.94730590e-06	1	true
0.00114         	DILUPBiCGStab	4.51785040e-03	7.55032220e-09	1	1.36861690e-02	6.07929300e-08	1	false	DILUPBiCGStab	1.22028480e-02	5.08395690e-08	1	true	DILUPBiCGStab	1.96269490e-03	7.50280370e-09	1	true	DILUPBiCGStab	1.97644870e-04	8.70686180e-07	1	true	GAMG	8.88869540e-03	3.78147000e-06	1	true
0.00116         	DILUPBiCGStab	4.55731080e-03	7.45555250e-09	1	1.35361430e-02	5.89625320e-08	1	false	DILUPBiCGStab	1.23774640e-02	5.05196170e-08	1	true	DILUPBiCGStab	1.93615160e-03	7.35288800e-09	1	true	DILUPBiCGStab	1.96014520e-04	9.42152770e-07	1	true	GAMG	9.01605390e-03	3.63811890e-06	1	true
0.00118         	DILUPBiCGStab	4.59914690e-03	7.40697760e-09	1	1.34028980e-02	5.69323670e-08	1	false	DILUPBiCGStab	1.25579980e-02	5.04456700e-08	1	true	DILUPBiCGStab	1.91114090e-03	7.22845490e-09	1	true	DILUPBiCGStab	1.94306240e-04	2.09073800e-09	1	true	GAMG	9.13792950e-03	3.50984760e-06	1	true
0.0012          	DILUPBiCGStab	4.64183280e-03	7.38649380e-09	1	1.32831050e-02	5.52214260e-08	1	false	DILUPBiCGStab	1.27291240e-02	5.03236280e-08	1	true	DILUPBiCGStab	1.88682870e-03	7.09880970e-09	1	true	DILUPBiCGStab	1.92704420e-04	2.48218260e-09	1	true	GAMG	9.26296000e-03	3.39161150e-06	1	true
0.00122         	DILUPBiCGStab	4.68530760e-03	7.42200140e-09	1	1.31565680e-02	5.35325260e-08	1	false	DILUPBiCGStab	1.28969080e-02	5.00088810e-08	1	true	DILUPBiCGStab	1.86286660e-03	6.98086350e-09	1	true	DILUPBiCGStab	1.91181780e-04	3.06661410e-09	1	true	GAMG	9.38920080e-03	3.27979880e-06	1	true
0.00124         	DILUPBiCGStab	4.73048560e-03	7.57290370e-09	1	1.30322070e-02	5.17372660e-08	1	false	DILUPBiCGStab	1.30804920e-02	5.00316320e-08	1	true	DILUPBiCGStab	1.83903220e-03	6.87730170e-09	1	true	DILUPBiCGStab	1.89737640e-04	3.71605810e-09	1	true	GAMG	9.51367710e-03	3.15506120e-06	1	true
0.00126         	DILUPBiCGStab	4.78136570e-03	7.79431120e-09	1	1.29215810e-02	5.01645000e-08	1	false	DILUPBiCGStab	1.32519710e-02	4.99616300e-08	1	true	DILUPBiCGStab	1.81527930e-03	6.77123370e-09	1	true	DILUPBiCGStab	1.88303480e-04	4.41459620e-09	1	true	GAMG	9.63555640e-03	3.05132580e-06	1	true
0.00128         	DILUPBiCGStab	4.83169220e-03	8.06855800e-09	1	1.28160330e-02	4.87017410e-08	1	false	DILUPBiCGStab	1.34215980e-02	4.97106620e-08	1	true	DILUPBiCGStab	1.79367860e-03	6.68110620e-09	1	true	DILUPBiCGStab	1.86843490e-04	5.04671250e-09	1	true	GAMG	9.76497190e-03	2.95097560e-06	1	true
0.0013          	DILUPBiCGStab	4.88253130e-03	8.39505350e-09	1	1.26985130e-02	4.71151340e-08	1	false	DILUPBiCGStab	1.35953640e-02	4.98016350e-08	1	true	DILUPBiCGStab	1.77274730e-03	6.60130290e-09	1	true	DILUPBiCGStab	1.85451290e-04	5.42184860e-09	1	true	GAMG	9.89409620e-03	2.85338140e-06	1	true
0.00132         	DILUPBiCGStab	4.93595400e-03	8.77299290e-09	1	1.25960060e-02	4.56465450e-08	1	false	DILUPBiCGStab	1.37786660e-02	4.97936930e-08	1	true	DILUPBiCGStab	1.75091980e-03	6.50695920e-09	1	true	DILUPBiCGStab	1.84151330e-04	5.68599110e-09	1	true	GAMG	1.00151130e-02	2.76523360e-06	1	true
0.00134         	DILUPBiCGStab	4.99212960e-03	9.18085200e-09	1	1.25055670e-02	4.44364840e-08	1	false	DILUPBiCGStab	1.39382340e-02	4.96456130e-08	1	true	DILUPBiCGStab	1.72848050e-03	6.41709510e-09	1	true	DILUPBiCGStab	1.82942520e-04	5.78832810e-09	1	true	GAMG	1.01345320e-02	2.69598190e-06	1	true
0.00136         	DILUPBiCGStab	5.04830260e-03	9.60830580e-09	1	1.24016600e-02	4.30724930e-08	1	false	DILUPBiCGStab	1.41144110e-02	4.97103930e-08	1	true	DILUPBiCGStab	1.71006880e-03	6.33358930e-09	1	true	DILUPBiCGStab	1.81643480e-04	5.78188850e-09	1	true	GAMG	1.02701550e-02	2.61904170e-06	1	true
