case,mu,mu_r,stage,n_pebbles,n_centres,r_m,r_over_d,g,coordination,counts
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.252600,4.2100,1.004726,349.831748,45590
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.253800,4.2300,1.005900,354.869247,46078
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.255000,4.2500,1.009171,359.971029,46666
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.256200,4.2700,1.006724,365.108451,46992
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.257400,4.2900,1.010560,370.313873,47614
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.258600,4.3100,1.013231,375.581830,48186
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.259800,4.3300,1.006413,380.863015,48307
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.261000,4.3500,1.015098,386.239095,49175
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.262200,4.3700,1.009632,391.635509,49361
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.263400,4.3900,1.017175,397.122117,50186
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.264600,4.4100,1.011746,402.629277,50374
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.265800,4.4300,1.013359,408.195365,50913
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.267000,4.4500,1.012713,413.808243,51341
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.268200,4.4700,1.007991,419.445283,51562
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.269400,4.4900,1.009940,425.143872,52125
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.270600,4.5100,1.005707,430.869247,52370
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.271800,4.5300,1.020450,436.730185,53610
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.273000,4.5500,1.007008,442.565103,53372
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.274200,4.5700,1.008668,448.461135,53931
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.275400,4.5900,1.006757,454.397617,54301
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.276600,4.6100,1.002158,460.358588,54525
liggghts_settled,0.4,0.1,settled_flat_floor,27554,9147,0.277800,4.6300,0.992935,466.316060,54493
