step,x1,y1,z1,vx1,vy1,vz1,omegax1,omegay1,omegaz1,x2,y2,z2,vx2,vy2,vz2,omegax2,omegay2,omegaz2
190,-0.0049136125748758938,0,0,-0.13738023551559994,0,0,0,16.49535853942551,0,0.0049136125748758938,0,0,0.13738023551559994,0,0,0,-16.49535853942551,0
200,-0.0049150164884988051,0,0,-0.14337438719270085,0,0,0,16.338399692890054,0,0.0049150164884988051,0,0,0.14337438719270085,0,0,0,-16.338399692890054,0
210,-0.0049164795093330138,0,0,-0.14920088907875834,0,0,0,16.185363060049369,0,0.0049164795093330138,0,0,0.14920088907875834,0,0,0,-16.185363060049369,0
220,-0.0049179999383020413,0,0,-0.15485528941585344,0,0,0,16.036372754144374,0,0.0049179999383020413,0,0,0.15485528941585344,0,0,0,-16.036372754144374,0
230,-0.0049195760337040779,0,0,-0.16033351601632062,0,0,0,15.891543727522158,0,0.0049195760337040779,0,0,0.16033351601632062,0,0,0,-15.891543727522158,0
240,-0.0049212060150390455,0,0,-0.1656318823703295,0,0,0,15.75098159113988,0,0.0049212060150390455,0,0,0.1656318823703295,0,0,0,-15.75098159113988,0
250,-0.004922888066891948,0,0,-0.17074709280132519,0,0,0,15.614782458158624,0,0.004922888066891948,0,0,0.17074709280132519,0,0,0,-15.614782458158624,0
260,-0.0049246203428631166,0,0,-0.17567624669078774,0,0,0,15.483032811263156,0,0.0049246203428631166,0,0,0.17567624669078774,0,0,0,-15.483032811263156,0
270,-0.0049264009695361407,0,0,-0.18041684179972464,0,0,0,15.355809393204435,0,0.0049264009695361407,0,0,0.18041684179972464,0,0,0,-15.355809393204435,0
280,-0.004928228050474659,0,0,-0.18496677672045833,0,0,0,15.233179119919415,0,0.004928228050474659,0,0,0.18496677672045833,0,0,0,-15.233179119919415,0
290,-0.0049300996702394562,0,0,-0.18932435249868737,0,0,0,15.115199015436678,0,0.0049300996702394562,0,0,0.18932435249868737,0,0,0,-15.115199015436678,0
300,-0.0049320138984178417,0,0,-0.19348827347254402,0,0,0,15.001916167625343,0,0.0049320138984178417,0,0,0.19348827347254402,0,0,0,-15.001916167625343,0
310,-0.0049339687936577233,0,0,-0.19745764738256058,0,0,0,14.893367703686708,0,0.0049339687936577233,0,0,0.19745764738256058,0,0,0,-14.893367703686708,0
320,-0.0049359624076993737,0,0,-0.20123198481421287,0,0,0,14.789580784121855,0,0.0049359624076993737,0,0,0.20123198481421287,0,0,0,-14.789580784121855,0
330,-0.0049379927893985895,0,0,-0.20481119804321865,0,0,0,14.690572613730385,0,0.0049379927893985895,0,0,0.20481119804321865,0,0,0,-14.690572613730385,0
340,-0.004940057988735631,0,0,-0.20819559936326187,0,0,0,14.596350468002782,0,0.004940057988735631,0,0,0.20819559936326187,0,0,0,-14.596350468002782,0
350,-0.0049421560608052259,0,0,-0.21138589898660615,0,0,0,14.506911733055929,0,0.0049421560608052259,0,0,0.21138589898660615,0,0,0,-14.506911733055929,0
360,-0.0049442850697838693,0,0,-0.21438320262055907,0,0,0,14.422243957022646,0,0.0049442850697838693,0,0,0.21438320262055907,0,0,0,-14.422243957022646,0
370,-0.0049464430928717433,0,0,-0.21718900883750966,0,0,0,14.342324910532783,0,0.0049464430928717433,0,0,0.21718900883750966,0,0,0,-14.342324910532783,0
