step,x1,y1,z1,vx1,vy1,vz1,omegax1,omegay1,omegaz1,x2,y2,z2,vx2,vy2,vz2,omegax2,omegay2,omegaz2
420,-0.0055799999999999444,0.00021000000000000185,0,1,0.5,0,0,0,0,0.0055799999999999444,-0.00021000000000000185,0,-1,-0.5,0,0,0,0
430,-0.0055699999999999431,0.00021500000000000197,0,1,0.5,0,0,0,0,0.0055699999999999431,-0.00021500000000000197,0,-1,-0.5,0,0,0,0
440,-0.0055599999999999417,0.00022000000000000209,0,1,0.5,0,0,0,0,0.0055599999999999417,-0.00022000000000000209,0,-1,-0.5,0,0,0,0
450,-0.0055499999999999404,0.00022500000000000222,0,1,0.5,0,0,0,0,0.0055499999999999404,-0.00022500000000000222,0,-1,-0.5,0,0,0,0
460,-0.0055399999999999391,0.00023000000000000234,0,1,0.5,0,0,0,0,0.0055399999999999391,-0.00023000000000000234,0,-1,-0.5,0,0,0,0
470,-0.0055299999999999377,0.00023500000000000246,0,1,0.5,0,0,0,0,0.0055299999999999377,-0.00023500000000000246,0,-1,-0.5,0,0,0,0
480,-0.0055199999999999364,0.00024000000000000258,0,1,0.5,0,0,0,0,0.0055199999999999364,-0.00024000000000000258,0,-1,-0.5,0,0,0,0
490,-0.0055099999999999351,0.0002450000000000027,0,1,0.5,0,0,0,0,0.0055099999999999351,-0.0002450000000000027,0,-1,-0.5,0,0,0,0
500,-0.0054999999999999338,0.00025000000000000282,0,1,0.5,0,0,0,0,0.0054999999999999338,-0.00025000000000000282,0,-1,-0.5,0,0,0,0
510,-0.0054899999999999324,0.00025500000000000295,0,1,0.5,0,0,0,0,0.0054899999999999324,-0.00025500000000000295,0,-1,-0.5,0,0,0,0
520,-0.0054799999999999311,0.00026000000000000307,0,1,0.5,0,0,0,0,0.0054799999999999311,-0.00026000000000000307,0,-1,-0.5,0,0,0,0
530,-0.0054699999999999298,0.00026500000000000319,0,1,0.5,0,0,0,0,0.0054699999999999298,-0.00026500000000000319,0,-1,-0.5,0,0,0,0
540,-0.0054599999999999285,0.00027000000000000331,0,1,0.5,0,0,0,0,0.0054599999999999285,-0.00027000000000000331,0,-1,-0.5,0,0,0,0
550,-0.0054499999999999271,0.00027500000000000343,0,1,0.5,0,0,0,0,0.0054499999999999271,-0.00027500000000000343,0,-1,-0.5,0,0,0,0
560,-0.0054399999999999258,0.00028000000000000355,0,1,0.5,0,0,0,0,0.0054399999999999258,-0.00028000000000000355,0,-1,-0.5,0,0,0,0
570,-0.0054299999999999245,0.00028500000000000367,0,1,0.5,0,0,0,0,0.0054299999999999245,-0.00028500000000000367,0,-1,-0.5,0,0,0,0
580,-0.0054199999999999231,0.0002900000000000038,0,1,0.5,0,0,0,0,0.0054199999999999231,-0.0002900000000000038,0,-1,-0.5,0,0,0,0
590,-0.0054099999999999218,0.00029500000000000392,0,1,0.5,0,0,0,0,0.0054099999999999218,-0.00029500000000000392,0,-1,-0.5,0,0,0,0
600,-0.0053999999999999205,0.00030000000000000404,0,1,0.5,0,0,0,0,0.0053999999999999205,-0.00030000000000000404,0,-1,-0.5,0,0,0,0
610,-0.0053899999999999192,0.00030500000000000416,0,1,0.5,0,0,0,0,0.0053899999999999192,-0.00030500000000000416,0,-1,-0.5,0,0,0,0
620,-0.0053799999999999178,0.00031000000000000428,0,1,0.5,0,0,0,0,0.0053799999999999178,-0.00031000000000000428,0,-1,-0.5,0,0,0,0
630,-0.0053699999999999165,0.0003150000000000044,0,1,0.5,0,0,0,0,0.0053699999999999165,-0.0003150000000000044,0,-1,-0.5,0,0,0,0
640,-0.0053599999999999152,0.00032000000000000453,0,1,0.5,0,0,0,0,0.0053599999999999152,-0.00032000000000000453,0,-1,-0.5,0,0,0,0
