step,sim_time_s,reactor_power_mw,prompt_power_mw,delayed_power_mw,fuel_temperature_k,bed_temperature_k
2075,207.600000000,6.867093484,6.817858939,0.049234545,974.562403537,960.453669416
2100,210.100000000,6.797678632,6.749121674,0.048556958,973.886899964,959.659231315
2125,212.600000000,6.735049250,6.687122072,0.047927178,973.195954721,958.850506879
2150,215.100000000,6.678977430,6.631633760,0.047343670,972.491508425,958.029319759
2175,217.600000000,6.629258039,6.582453013,0.046805027,971.775433109,957.197428904
2200,220.100000000,6.585706426,6.539396469,0.046309957,971.049538613,956.356534565
2225,222.600000000,6.548156339,6.502299063,0.045857276,970.315578322,955.508283675
2250,225.100000000,6.516458023,6.471012126,0.045445897,969.575254315,954.654274685
2275,227.600000000,6.490476460,6.445401638,0.045074823,968.830221977,953.796061897
2300,230.100000000,6.470089733,6.425346597,0.044743136,968.082094111,952.935159315
2325,232.600000000,6.455187476,6.410737482,0.044449994,967.332444581,952.073044075
2350,235.100000000,6.445669407,6.401474789,0.044194618,966.582811515,951.211159443
2375,237.600000000,6.441443907,6.397467615,0.043976292,965.834700086,950.350917432
2400,240.100000000,6.442426634,6.398632287,0.043794348,965.089584890,949.493701026
2425,242.600000000,6.448539167,6.404891000,0.043648166,964.348911919,948.640866045
2450,245.100000000,6.459707640,6.416170474,0.043537166,963.614100155,947.793742626
2475,247.600000000,6.475861389,6.432400592,0.043460797,962.886542764,946.953636354
2500,250.100000000,6.496931574,6.453513040,0.043418535,962.167607908,946.121829022
2525,252.600000000,6.522849785,6.479439912,0.043409873,961.458639160,945.299579019
2550,255.100000000,6.553546614,6.510112299,0.043434315,960.760955523,944.488121351
2575,257.600000000,6.588950207,6.545458838,0.043491369,960.075851044,943.688667281
2600,260.100000000,6.628984782,6.585404243,0.043580538,959.404594019,942.902403579
2625,262.600000000,6.673569111,6.629867798,0.043701313,958.748425775,942.130491387
2650,265.100000000,6.722614998,6.678761834,0.043853164,958.108559037,941.374064685
2675,267.600000000,6.776025722,6.731990189,0.044035533,957.486175861,940.634228357
2700,270.100000000,6.833694496,6.789446673,0.044247823,956.882425144,939.912055860
2725,272.600000000,6.895502933,6.851013539,0.044489394,956.298419711,939.208586490
2750,275.100000000,6.961319546,6.916559996,0.044759550,955.735232984,938.524822270
2775,277.600000000,7.030998309,6.985940777,0.045057531,955.193895251,937.861724453
2800,280.100000000,7.104377300,7.058994792,0.045382508,954.675389558,937.220209676
2825,282.600000000,7.181277469,7.135543897,0.045733572,954.180647250,936.601145786
2850,285.100000000,7.261501541,7.215391816,0.046109725,953.710543196,936.005347381
2875,287.600000000,7.344833120,7.298323242,0.046509878,953.265890762,935.433571095
2900,290.100000000,7.431036013,7.384103171,0.046932842,952.847436570,934.886510706
2925,292.600000000,7.519853810,7.472476488,0.047377322,952.455855124,934.364792113
2950,295.100000000,7.611009774,7.563167859,0.047841915,952.091743384,933.868968263
2975,297.600000000,7.704207058,7.655881950,0.048325108,951.755615371,933.399514114
2999,300.000000000,7.795303427,7.746498463,0.048804964,951.459655688,932.974011477
